Avr_L: 21.7249    Avr_b: 6.4149   Avr_Chroma: 8.9254 
Avr_L: 19.9255    Avr_b: 6.5109   Avr_Chroma: 10.7892 
Avr_L: 22.8756    Avr_b: 7.1568   Avr_Chroma: 10.0256 
Avr_L: 23.2967    Avr_b: 5.7126   Avr_Chroma: 9.2561 
Avr_L: 24.1852    Avr_b: 7.2563   Avr_Chroma: 10.4606 
Avr_L: 23.1411    Avr_b: 5.9683   Avr_Chroma: 9.5084 
Avr_L: 24.7481    Avr_b: 7.1059   Avr_Chroma: 10.5151 
Avr_L: 22.7956    Avr_b: 6.3088   Avr_Chroma: 9.5867 
Avr_L: 24.7331    Avr_b: 6.9543   Avr_Chroma: 10.5553 
Avr_L: 22.9810    Avr_b: 6.3938   Avr_Chroma: 9.8049 
Avr_L: 16.0800    Avr_b: 2.7718   Avr_Chroma: 7.6485 
Avr_L: 24.2136    Avr_b: 7.0129   Avr_Chroma: 10.5812 
Avr_L: 23.1048    Avr_b: 6.3872   Avr_Chroma: 9.6416 
Avr_L: 16.6628    Avr_b: 2.3368   Avr_Chroma: 7.8964 
Avr_L: 24.2214    Avr_b: 6.6831   Avr_Chroma: 10.4855 
Avr_L: 16.6304    Avr_b: 2.5361   Avr_Chroma: 7.6860 
Avr_L: 24.7090    Avr_b: 6.7896   Avr_Chroma: 10.7065 
Avr_L: 16.7061    Avr_b: 2.0985   Avr_Chroma: 7.8158 
Avr_L: 16.9335    Avr_b: 1.8496   Avr_Chroma: 7.7681 
Avr_L: 17.6369    Avr_b: 1.9842   Avr_Chroma: 7.6772 
Avr_L: 17.5516    Avr_b: 2.2607   Avr_Chroma: 7.7547 
Avr_L: 21.3110    Avr_b: 6.8888   Avr_Chroma: 9.9778 
Avr_L: 22.1880    Avr_b: 6.9643   Avr_Chroma: 10.1953 
Avr_L: 22.2561    Avr_b: 6.7396   Avr_Chroma: 10.2917 
Avr_L: 21.9098    Avr_b: 6.8537   Avr_Chroma: 10.4641 
Avr_L: 22.2043    Avr_b: 7.0590   Avr_Chroma: 10.5388 
Avr_L: 18.2474    Avr_b: 4.8064   Avr_Chroma: 9.3304 
Avr_L: 22.3463    Avr_b: 7.3078   Avr_Chroma: 10.7564 
Avr_L: 19.5749    Avr_b: 4.6596   Avr_Chroma: 9.6289 
Avr_L: 19.8731    Avr_b: 4.6128   Avr_Chroma: 9.8055 
Avr_L: 19.2462    Avr_b: 4.5040   Avr_Chroma: 9.8301 
Avr_L: 18.3481    Avr_b: 8.9798   Avr_Chroma: 12.5706 
Avr_L: 19.2172    Avr_b: 4.3691   Avr_Chroma: 9.7498 
Avr_L: 19.1103    Avr_b: 9.0226   Avr_Chroma: 12.7890 
Avr_L: 19.7256    Avr_b: 4.4208   Avr_Chroma: 9.8469 
Avr_L: 20.0675    Avr_b: 8.5560   Avr_Chroma: 12.7810 
Avr_L: 20.7484    Avr_b: 3.8993   Avr_Chroma: 9.8170 
Avr_L: 21.0051    Avr_b: 8.2268   Avr_Chroma: 12.6873 
Avr_L: 14.0213    Avr_b: 2.3216   Avr_Chroma: 6.6336 
Avr_L: 21.4329    Avr_b: 8.0684   Avr_Chroma: 12.7490 
Avr_L: 14.8865    Avr_b: 2.0035   Avr_Chroma: 7.1768 
Avr_L: 21.1726    Avr_b: 7.8319   Avr_Chroma: 12.7468 
Avr_L: 15.4041    Avr_b: 1.8873   Avr_Chroma: 7.0975 
Avr_L: 19.6846    Avr_b: 8.2158   Avr_Chroma: 12.7433 
Avr_L: 15.2361    Avr_b: 1.7788   Avr_Chroma: 6.9393 
Avr_L: 15.2406    Avr_b: 1.4241   Avr_Chroma: 7.0990 
Avr_L: 15.4739    Avr_b: 1.4114   Avr_Chroma: 7.0897 
Avr_L: 19.0610    Avr_b: 6.1129   Avr_Chroma: 9.0922 
Avr_L: 15.6402    Avr_b: 1.7949   Avr_Chroma: 7.2842 
Avr_L: 20.3044    Avr_b: 5.8784   Avr_Chroma: 9.2444 
Avr_L: 20.7743    Avr_b: 5.4771   Avr_Chroma: 8.9051 
Avr_L: 20.8300    Avr_b: 5.0166   Avr_Chroma: 9.0143 
Avr_L: 20.4198    Avr_b: 5.4590   Avr_Chroma: 8.8882 
Avr_L: 20.4048    Avr_b: 5.7111   Avr_Chroma: 9.3055 
Avr_L: 11.3515    Avr_b: 0.1221   Avr_Chroma: 4.8475 
Avr_L: 20.7610    Avr_b: 6.2317   Avr_Chroma: 9.3981 
Avr_L: 12.8591    Avr_b: -0.2533   Avr_Chroma: 5.4510 
Avr_L: 13.9617    Avr_b: -1.2662   Avr_Chroma: 6.3705 
Avr_L: 14.3615    Avr_b: -0.9770   Avr_Chroma: 6.2503 
Avr_L: 13.8923    Avr_b: -0.7972   Avr_Chroma: 6.3395 
Avr_L: 13.4101    Avr_b: -0.6705   Avr_Chroma: 6.3143 
Avr_L: 13.4949    Avr_b: -0.4478   Avr_Chroma: 5.8706 
Avr_L: 13.7276    Avr_b: -0.2857   Avr_Chroma: 6.1185 
Avr_L: 13.8609    Avr_b: 2.9120   Avr_Chroma: 6.6918 
Avr_L: 14.9722    Avr_b: 2.5938   Avr_Chroma: 6.7686 
Avr_L: 14.4542    Avr_b: 3.8797   Avr_Chroma: 8.4827 
Avr_L: 15.6441    Avr_b: 2.2151   Avr_Chroma: 6.9854 
Avr_L: 15.5188    Avr_b: 2.9627   Avr_Chroma: 8.7076 
Avr_L: 16.0938    Avr_b: 1.9788   Avr_Chroma: 6.7104 
Avr_L: 15.3490    Avr_b: 3.4156   Avr_Chroma: 8.4964 
Avr_L: 16.2324    Avr_b: 1.9752   Avr_Chroma: 7.0927 
Avr_L: 15.3063    Avr_b: 3.2576   Avr_Chroma: 8.5132 
Avr_L: 16.2354    Avr_b: 2.2082   Avr_Chroma: 7.0503 
Avr_L: 15.1053    Avr_b: 3.3000   Avr_Chroma: 8.6563 
Avr_L: 15.4093    Avr_b: 2.4889   Avr_Chroma: 7.1297 
Avr_L: 15.9355    Avr_b: 5.4816   Avr_Chroma: 9.0395 
Avr_L: 15.1750    Avr_b: 3.8164   Avr_Chroma: 8.6824 
Avr_L: 17.5227    Avr_b: 5.0114   Avr_Chroma: 8.9939 
Avr_L: 15.6689    Avr_b: 4.0496   Avr_Chroma: 8.6524 
Avr_L: 18.1663    Avr_b: 4.7668   Avr_Chroma: 8.9551 
Avr_L: 18.8295    Avr_b: 4.5700   Avr_Chroma: 9.3936 
Avr_L: 19.2110    Avr_b: 4.1111   Avr_Chroma: 9.1348 
Avr_L: 19.2758    Avr_b: 4.9259   Avr_Chroma: 9.5224 
Avr_L: 19.2442    Avr_b: 7.5017   Avr_Chroma: 11.3370 
Avr_L: 19.7872    Avr_b: 7.4697   Avr_Chroma: 11.3003 
Avr_L: 20.6239    Avr_b: 6.8232   Avr_Chroma: 11.1563 
Avr_L: 21.1744    Avr_b: 6.7467   Avr_Chroma: 11.2463 
Avr_L: 21.3806    Avr_b: 6.6429   Avr_Chroma: 11.2847 
Avr_L: 21.4929    Avr_b: 6.2955   Avr_Chroma: 11.2706 
Avr_L: 20.1102    Avr_b: 6.4155   Avr_Chroma: 10.8621 
Avr_L: 15.9115    Avr_b: 8.1887   Avr_Chroma: 11.6557 
Avr_L: 16.8390    Avr_b: 7.8616   Avr_Chroma: 11.7868 
Avr_L: 17.9712    Avr_b: 7.0844   Avr_Chroma: 11.6083 
Avr_L: 18.5190    Avr_b: 7.0203   Avr_Chroma: 11.6317 
Avr_L: 18.9229    Avr_b: 7.1912   Avr_Chroma: 11.9694 
Avr_L: 19.3416    Avr_b: 7.2520   Avr_Chroma: 12.1300 
Avr_L: 19.1857    Avr_b: 7.2898   Avr_Chroma: 12.1357 
Avr_L: 18.2345    Avr_b: 7.5186   Avr_Chroma: 11.9077 
Avr_L: 23.1393    Avr_b: 10.2667   Avr_Chroma: 13.2783 
Avr_L: 24.3967    Avr_b: 9.8740   Avr_Chroma: 13.2907 
Avr_L: 24.6731    Avr_b: 9.5906   Avr_Chroma: 13.2018 
Avr_L: 24.4103    Avr_b: 9.9830   Avr_Chroma: 13.5699 
Avr_L: 23.9066    Avr_b: 9.7491   Avr_Chroma: 13.2651 
Avr_L: 23.8034    Avr_b: 9.9103   Avr_Chroma: 13.4083 
Avr_L: 23.9158    Avr_b: 9.6742   Avr_Chroma: 13.2052 
Avr_L: 20.3056    Avr_b: 6.7111   Avr_Chroma: 10.7575 
Avr_L: 21.4057    Avr_b: 6.4238   Avr_Chroma: 10.9372 
Avr_L: 22.6736    Avr_b: 10.9074   Avr_Chroma: 13.6119 
Avr_L: 22.5572    Avr_b: 6.3379   Avr_Chroma: 11.1646 
Avr_L: 25.1870    Avr_b: 10.8096   Avr_Chroma: 13.7568 
Avr_L: 23.3020    Avr_b: 5.7877   Avr_Chroma: 11.1398 
Avr_L: 26.2415    Avr_b: 10.6425   Avr_Chroma: 13.8925 
Avr_L: 23.3074    Avr_b: 6.1761   Avr_Chroma: 11.3287 
Avr_L: 26.6533    Avr_b: 10.8372   Avr_Chroma: 14.1252 
Avr_L: 22.1417    Avr_b: 6.7068   Avr_Chroma: 11.4296 
Avr_L: 26.9079    Avr_b: 10.7481   Avr_Chroma: 14.2203 
Avr_L: 27.4715    Avr_b: 10.4687   Avr_Chroma: 14.0278 
Avr_L: 26.8147    Avr_b: 10.5629   Avr_Chroma: 14.2512 
Avr_L: 25.3379    Avr_b: 10.5417   Avr_Chroma: 14.0752 
Avr_L: 23.3168    Avr_b: 9.6675   Avr_Chroma: 11.9689 
Avr_L: 24.1910    Avr_b: 9.3440   Avr_Chroma: 11.8663 
Avr_L: 25.0779    Avr_b: 8.9352   Avr_Chroma: 11.6708 
Avr_L: 25.1430    Avr_b: 8.8211   Avr_Chroma: 11.6566 
Avr_L: 25.5361    Avr_b: 8.3896   Avr_Chroma: 11.4937 
Avr_L: 25.7227    Avr_b: 8.6333   Avr_Chroma: 11.6555 
Avr_L: 24.7893    Avr_b: 9.0031   Avr_Chroma: 11.9224 
Avr_L: 18.8726    Avr_b: 7.3542   Avr_Chroma: 11.5138 
Avr_L: 19.9759    Avr_b: 6.4845   Avr_Chroma: 11.3555 
Avr_L: 20.1000    Avr_b: 6.1667   Avr_Chroma: 11.5210 
Avr_L: 19.5642    Avr_b: 5.9229   Avr_Chroma: 11.2182 
Avr_L: 19.9186    Avr_b: 5.6997   Avr_Chroma: 10.9899 
Avr_L: 20.6545    Avr_b: 5.7115   Avr_Chroma: 11.1526 
Avr_L: 21.5140    Avr_b: 9.1789   Avr_Chroma: 12.7649 
Avr_L: 21.3369    Avr_b: 5.3105   Avr_Chroma: 11.2646 
Avr_L: 22.6963    Avr_b: 8.5952   Avr_Chroma: 12.5740 
Avr_L: 23.1496    Avr_b: 8.3222   Avr_Chroma: 12.7225 
Avr_L: 23.1913    Avr_b: 8.2320   Avr_Chroma: 12.5845 
Avr_L: 23.1921    Avr_b: 8.1210   Avr_Chroma: 12.5812 
