Avr_L: 36.3938    Avr_b: 16.3318   Avr_Chroma: 18.4902 
Avr_L: 35.2952    Avr_b: 13.0839   Avr_Chroma: 15.2235 
Avr_L: 35.9810    Avr_b: 16.3881   Avr_Chroma: 18.6067 
Avr_L: 20.8361    Avr_b: 13.3952   Avr_Chroma: 16.3311 
Avr_L: 36.4931    Avr_b: 12.2108   Avr_Chroma: 14.7148 
Avr_L: 36.2416    Avr_b: 16.2967   Avr_Chroma: 18.6111 
Avr_L: 22.6136    Avr_b: 13.7380   Avr_Chroma: 16.9376 
Avr_L: 34.8792    Avr_b: 12.7033   Avr_Chroma: 14.9819 
Avr_L: 23.6295    Avr_b: 13.5119   Avr_Chroma: 17.1227 
Avr_L: 23.9449    Avr_b: 13.3216   Avr_Chroma: 17.1878 
Avr_L: 28.9923    Avr_b: 18.5242   Avr_Chroma: 21.2768 
Avr_L: 23.9442    Avr_b: 13.2663   Avr_Chroma: 17.1575 
Avr_L: 30.8992    Avr_b: 18.7598   Avr_Chroma: 21.6027 
Avr_L: 31.6966    Avr_b: 19.8020   Avr_Chroma: 21.9321 
Avr_L: 23.9777    Avr_b: 13.5564   Avr_Chroma: 17.3613 
Avr_L: 36.0085    Avr_b: 14.6906   Avr_Chroma: 15.9552 
Avr_L: 31.8667    Avr_b: 18.4612   Avr_Chroma: 21.4591 
Avr_L: 33.4787    Avr_b: 19.6566   Avr_Chroma: 21.8478 
Avr_L: 24.0399    Avr_b: 13.6723   Avr_Chroma: 17.4221 
Avr_L: 37.7110    Avr_b: 14.9260   Avr_Chroma: 16.2269 
Avr_L: 32.3066    Avr_b: 18.1099   Avr_Chroma: 21.2107 
Avr_L: 34.6030    Avr_b: 18.6752   Avr_Chroma: 20.9997 
Avr_L: 38.2287    Avr_b: 14.5370   Avr_Chroma: 15.9428 
Avr_L: 32.7489    Avr_b: 17.7197   Avr_Chroma: 20.8198 
Avr_L: 34.8491    Avr_b: 18.4770   Avr_Chroma: 20.8168 
Avr_L: 42.9927    Avr_b: 15.5609   Avr_Chroma: 16.2873 
Avr_L: 38.4515    Avr_b: 14.0457   Avr_Chroma: 15.5905 
Avr_L: 32.9585    Avr_b: 17.4360   Avr_Chroma: 20.6544 
Avr_L: 28.2976    Avr_b: 15.1164   Avr_Chroma: 17.9188 
Avr_L: 34.6460    Avr_b: 18.3509   Avr_Chroma: 20.8183 
Avr_L: 43.7588    Avr_b: 15.0155   Avr_Chroma: 15.8860 
Avr_L: 38.3977    Avr_b: 13.6747   Avr_Chroma: 15.3688 
Avr_L: 32.7132    Avr_b: 17.1844   Avr_Chroma: 20.5856 
Avr_L: 29.1137    Avr_b: 15.0738   Avr_Chroma: 17.9513 
Avr_L: 34.2741    Avr_b: 18.5070   Avr_Chroma: 21.0313 
Avr_L: 43.8899    Avr_b: 14.8036   Avr_Chroma: 15.7114 
Avr_L: 31.2610    Avr_b: 19.4326   Avr_Chroma: 22.5169 
Avr_L: 37.9593    Avr_b: 13.5258   Avr_Chroma: 15.4091 
Avr_L: 30.9982    Avr_b: 17.4513   Avr_Chroma: 20.9325 
Avr_L: 29.8361    Avr_b: 14.6669   Avr_Chroma: 17.5934 
Avr_L: 39.6832    Avr_b: 20.9838   Avr_Chroma: 23.5507 
Avr_L: 33.7595    Avr_b: 18.4030   Avr_Chroma: 21.1423 
Avr_L: 43.1747    Avr_b: 14.8714   Avr_Chroma: 15.8040 
Avr_L: 32.6908    Avr_b: 19.2730   Avr_Chroma: 22.4218 
Avr_L: 37.0671    Avr_b: 13.4624   Avr_Chroma: 15.5142 
Avr_L: 29.7971    Avr_b: 14.4597   Avr_Chroma: 17.6484 
Avr_L: 41.2470    Avr_b: 20.8968   Avr_Chroma: 23.6086 
Avr_L: 33.6636    Avr_b: 17.9918   Avr_Chroma: 20.8542 
Avr_L: 42.9919    Avr_b: 14.7120   Avr_Chroma: 15.7403 
Avr_L: 33.1819    Avr_b: 19.1450   Avr_Chroma: 22.2209 
